mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error
,,122.8,1001,0.1184,0.2776,0.3001,0.1471,0.2419,,1.095,0.9053,8.589,153.4,,0.04904,0.05373,0.01587,0.03003,0.006193
20.57,17.77,132.9,,0.08474,,,0.07017,,0.05667,0.5435,0.7339,,74.08,0.005225,0.01308,0.0186,,0.01389,
,21.25,130,1203,,0.1599,0.1974,0.1279,0.2069,0.05999,0.7456,0.7869,4.585,94.03,0.00615,0.04006,0.03832,0.02058,,0.004571
,20.38,77.58,,0.1425,0.2839,0.2414,0.1052,0.2597,,0.4956,1.156,3.445,27.23,0.00911,0.07458,0.05661,,0.05963,0.009208
20.29,14.34,135.1,,,0.1328,0.198,0.1043,0.1809,0.05883,0.7572,0.7813,,,0.01149,0.02461,0.05688,,,0.005115
12.45,15.7,82.57,477.1,,0.17,0.1578,,0.2087,0.07613,0.3345,0.8902,2.217,,,,,,0.02165,
18.25,19.98,119.6,1040,,,0.1127,0.074,0.1794,0.05742,0.4467,0.7732,,,,0.01382,,0.01039,,0.002179
,20.83,90.2,,,0.1645,,0.05985,0.2196,0.07451,0.5835,,3.856,,0.008805,0.03029,,0.01448,0.01486,0.005412
,21.82,87.5,519.8,0.1273,0.1932,0.1859,0.09353,0.235,0.07389,,,2.406,24.32,0.005731,0.03502,,0.01226,0.02143,
12.46,,83.97,475.9,0.1186,0.2396,,0.08543,0.203,,,1.599,2.039,,0.007149,,,0.01432,,
16.02,,102.7,797.8,0.08206,0.06669,0.03299,,,0.05697,,,,40.51,,0.009269,0.01101,0.007591,0.0146,0.003042
15.78,17.89,,781,0.0971,0.1292,0.09954,0.06606,0.1842,0.06082,0.5058,0.9849,,54.16,0.005771,,,,0.02008,0.004144
,,132.4,1123,0.0974,0.2458,0.2065,0.1118,0.2397,0.078,0.9555,,11.07,116.2,,,0.0889,0.0409,0.04484,0.01284
15.85,,103.7,782.7,0.08401,0.1002,,0.05364,0.1847,0.05338,0.4033,1.078,2.903,36.58,0.009769,0.03126,0.05051,0.01992,0.02981,
13.73,22.61,93.6,,0.1131,0.2293,0.2128,0.08025,0.2069,,0.2121,,,19.21,,,0.05501,0.01628,,0.008093
14.54,,96.73,658.8,0.1139,,,0.07364,,0.07077,0.37,1.033,2.879,,0.005607,,0.04741,0.0109,0.01857,0.005466
14.68,20.13,94.74,,0.09867,0.072,,,0.1586,0.05922,0.4727,1.24,3.195,,,0.01162,0.01998,0.01109,0.0141,
16.13,,108.1,798.8,0.117,,0.1722,,0.2164,,0.5692,1.073,3.854,54.18,0.007026,,0.03188,,0.01689,0.004142
19.81,22.15,,1260,0.09831,,0.1479,0.09498,,0.05395,0.7582,,5.865,112.4,0.006494,,,,0.01356,0.001997
,14.36,,566.3,0.09779,,,0.04781,0.1885,,0.2699,,2.058,23.56,0.008462,0.0146,0.02387,0.01315,0.0198,0.0023
13.08,,,520,0.1075,0.127,0.04568,0.0311,0.1967,0.06811,0.1852,,1.383,,0.004097,0.01898,0.01698,0.00649,,0.002425
,,60.34,273.9,0.1024,0.06492,0.02956,,0.1815,,0.2773,0.9768,1.909,15.7,0.009606,0.01432,0.01985,,,
